Well ID,Avg Pump Difference,Lateral Length,TVD,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
292,71.44,11800,8490,8,1801,503,1801,0,5251,5251.5,6,1776,1517,650,3025,3201,26,820,,820,2,1124,1124,9,0.7,1,3,0.534897499,252,2531.114675,151.8,2224.430535,662
293,27.28,10300,10295,1,1665,1137,1665,6,,,0,2171,1615,1223,3628,3805.5,18,818,,818,1,829,829,0,0,0,1,0.505849813,302,2616.979761,237.4,2395.782663,479.6
294,44.92,10300,8250,8,2579,669,2578,0,3582,3582,3,2026,1591,977,3204,3581,19,846,462,846,5,1543,1481,276,4.7,2,12,0.499112812,369,2526.315152,270.9,2494.963763,565.2
295,35.52,10300,9180,6,595,380,593,7,5296,6395,5,1940,1733,687,2628,1999,33,,857,,1,867,234,835,0,0,1,0.501386052,222,2580.918415,223.8,2395.248211,661.3
296,53.86,7600,8450,3,2481,2663,2481,2657,,,0,2708,2690,256,2472,2472,3,651,480,651,3,1161,1050,352,0.7,1,7,0.522166364,90,2489.949673,208.8,2536.835745,607.4
297,22.48,15400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.530085303,81,2189.009027,269,1269.687988,629.7
298,35.46,15400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.524909284,180,1971.769373,282,845.3371297,408.2
299,18.04,15400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.531855836,268,2068.565102,280.1,695.83793,299.4
300,-4.78,15100,8445,4,,,,,,,0,,,,,,0,810,602,810,4,821,694,308,0,0,5,0.49136987,66,2436.730435,222.2,1899.344348,637.9
301,48.35,15200,8440,2,,,,,,,0,,,,,,0,852,678,852,2,1311,1233,314,1.2,1,5,0.470620779,63,2457.795237,288.6,1992.997284,962.8
302,58.35,15000,8445,4,,,,,,,0,,,,,,0,810,602,810,4,821,694,308,0,0,5,0.468503159,159,2241.876345,227.7,1698.000908,563.6
303,40.1,15000,8440,2,,,,,,,0,,,,,,0,852,678,852,2,1311,1233,314,1.2,1,5,0.47359954,140,2386.939138,200.7,2288.120062,523.7
304,15.32,15000,8445,4,,,,,,,0,,,,,,0,810,602,810,4,821,694,308,0,0,5,0.484089323,267,2540.766233,230,1784.032197,669.1
305,6.63,15600,8450,3,2481,2663,2481,2657,,,0,2708,2690,256,2472,2472,3,651,480,651,3,1161,1050,352,0.7,1,7,0.528331752,62,3037.413451,141.2,2887.576283,652.3
306,55,16600,9465,6,1066,811,1064,241,1333,1333,2,2027,1845,583,1450,1342.5,20,800,351,800,4,1555,1329,631,12.9,22,15,0.527794988,189,3085.054913,231.1,2688.717968,386.9
307,50.44,15100,8440,2,,,,,,,0,,,,,,0,852,678,852,2,1311,1233,314,1.2,1,5,0.469866159,288,2417.846164,201.5,1946.511574,613.9
308,69.27,16600,9465,6,1066,811,1064,241,1333,1333,2,2027,1845,583,1450,1342.5,20,800,351,800,4,1555,1329,631,12.9,22,15,0.520210586,130,2939.106995,246,2116.195991,529.5
309,14.12,16500,9465,6,1066,811,1064,241,1333,1333,2,2027,1845,583,1450,1342.5,20,800,351,800,4,1555,1329,631,12.9,22,15,0.542580394,272,3243.973159,362.3,2269.934221,700.8
310,49.09,10300,10040,2,1468,955,534,191,3960,3960,1,2520,1888,1457,4270,3668.5,24,697,,697,1,1433,1433,12,16.7,25,3,0.567692327,304,2576.607895,172,1669.167595,799.4
311,27.6,10300,10025,3,1397,967,159,5,3350,3350,2,2257,1579,1410,3755,3351,20,720,,720,1,1913,1913,15,-16.7,-25,3,0.577057303,420,3564.462932,2145.8,1711.648042,673.1
312,19.7,10300,10030,2,1419,945,311,69,3350,3350,1,2221,1546,1405,3966,3643.5,20,720,,720,1,1433,1433,12,-16.7,-25,3,0.580499989,431,2752.443301,194.1,1687.591143,541.1
313,7.44,10000,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.567118068,126,3344.959992,198.1,2437.362986,440.8
314,58.71,7600,10665,2,1012,1197,1011,2,552,552,1,2390,1734,1423,2209,1136,25,866,2267,866,1,2114,889,1595,-27.3,-41,6,0.507677464,49,2601.023124,153.4,2403.99092,784.6
315,39.6,7800,8420,5,2570,770,2570,55,5682,5682,1,2339,1842,1127,3581,4874,23,304,275,304,4,1401,1147,635,-1.5,-1,13,0.51518029,131,2499.870135,149.5,1779.067449,881.3
316,65.98,7800,8440,4,1426,536,1426,21,5346,5346,3,2206,1754,972,1904,767,27,,417,,1,417,328,258,0,0,1,0.504823171,171,2521.704779,183.5,1900.088888,727.8
317,24.23,15600,8790,4,930,2529,928,2493,2324,2324,1,2421,2410,168,2275,2324,8,872,526,872,3,1182,1065,311,1.2,1,5,0.497105243,91,2608.988542,267.1,2300.207811,683.9
318,5.61,14400,9320,5,,,,,,,0,,,,,,0,736,258,736,5,1570,1317,568,-4.8,14,19,0.566336185,119,3301.25279,388.2,2736.395575,562
319,-10.63,15300,9320,5,,,,,,,0,,,,,,0,736,258,736,5,1570,1317,568,-4.8,14,19,0.575894236,423,3170.934229,260.6,2693.813374,573.7
320,38.08,15600,9485,6,,819,,192,133,133,2,1915,1538,996,258,141,5,831,522,831,4,1762,1688,286,-19.7,-30,13,0.491919087,174,2556.699361,195.6,2494.365764,642.8
322,24.65,15600,8870,3,2780,2486,2779,2471,,,0,2629,2606,276,1997,2000,3,858,541,858,3,1024,870,318,-1.2,-1,5,0.496947973,234,2626.137461,881.4,2492.693397,532.6
323,13.46,10300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.551499067,142,2459.688457,208.3,2144.941593,623.3
324,3.55,15300,9115,5,1454,151,1453,86,6575,6572,4,1933,1800,503,3077,1646.5,22,1040,1267,1040,1,1377,922,776,0.3,0.5,4,0.558487803,75,3424.968388,148.3,3046.566356,527.5
325,2.86,10300,7820,4,878,1220,877,239,2789,2788.5,2,2146,1948,566,2795,2900.5,20,,510,,2,721,142,704,-0.5,-0.5,2,0.523480475,64,3033.434898,246.4,2767.646172,566.1
326,-12.69,12700,9250,8,915,916,878,861,628,628,3,1910,1838,418,1441,743,9,283,345,124,5,565,467,230,0,0,5,0.56427,176,2930.4,142.7,2797.3,746.3
327,-6.8,10300,9250,8,915,916,878,861,628,628,3,1910,1838,418,1441,743,9,283,345,124,5,565,467,230,0,0,5,0.568211579,51,2853.885895,413,2973.888742,749.2
328,17.82,12900,9250,8,915,916,878,861,628,628,3,1910,1838,418,1441,743,9,283,345,124,5,565,467,230,0,0,5,0.551652783,266,2840.058261,163.8,2764.23913,985.4
329,6.86,15400,9115,5,1454,151,1453,86,6575,6572,4,1933,1800,503,3077,1646.5,22,1040,1267,1040,1,1377,922,776,0.3,0.5,4,0.557116681,223,3414.087611,220.5,3055.667257,387.7
330,2.5,10100,9250,8,915,916,878,861,628,628,3,1910,1838,418,1441,743,9,283,345,124,5,565,467,230,0,0,5,0.564321968,158,3140.505725,242.6,2877.810012,816.5
331,2.13,10200,9250,8,915,916,878,861,628,628,3,1910,1838,418,1441,743,9,283,345,124,5,565,467,230,0,0,5,0.558141283,339,2873.946195,193.7,2550.788826,861.8
332,30.86,10300,9895,3,285,1238,282,287,3245,3244.5,2,2335,1665,1431,2263,2599,29,871,,871,1,876,876,9,0,0,1,0.51261445,296,2937.778684,223.9,2642.348057,748.3
333,-0.78,10300,9250,8,915,916,878,861,628,628,3,1910,1838,418,1441,743,9,283,345,124,5,565,467,230,0,0,5,0.565693788,227,2959.448773,145.2,2590.599346,843.5
334,24.22,10300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.552479532,42,2838.529611,748.5,2302.328134,698
335,5.66,15300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.557613765,368,3553.95075,205.8,3150.969604,389.4
336,2.51,10300,9085,7,,,,,,,0,,,,,,0,624,375,624,7,1593,1331,610,-0.3,-2,21,0.526523549,40,3141.537437,235.4,2888.534937,389.9
337,20,10300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.554235728,119,2970.618007,256.7,2431.078199,733.4
338,5.16,10300,9085,7,,,,,,,0,,,,,,0,624,375,624,7,1593,1331,610,-0.3,-2,21,0.525489448,111,3258.339746,303.3,2699.552713,269.6
339,37.6,10300,9085,7,,,,,,,0,,,,,,0,624,375,624,7,1593,1331,610,-0.3,-2,21,0.512830484,155,3247.780777,333,2846.921185,229.7
340,24.61,10300,10245,0,1225,1245,1225,82,,,0,2533,1565,1784,4655,4398,34,1361,,1361,0,1401,1401,14,0,0,1,0.545678801,43,2527.246172,644.1,2177.977414,778.2
341,13.59,10300,10245,0,1225,1245,1225,82,,,0,2533,1565,1784,4655,4398,34,1361,,1361,0,1401,1401,14,0,0,1,0.550209764,124,2557.76257,150,2405.186841,770.4
342,10.3,15700,9480,5,921,1161,921,138,1024,1024,2,2144,1867,816,916,788,40,880,609,880,3,1072,912,340,1.2,1,5,0.520696448,49,2503.979561,175.2,2432.650212,399.6
343,75.63,15700,9480,5,921,1161,921,138,1024,1024,2,2144,1867,816,916,788,40,880,609,880,3,1072,912,340,1.2,1,5,0.495240451,59,2302.201062,174.7,2088.177345,374.5
344,62.6,15800,9480,5,921,1161,921,138,1024,1024,2,2144,1867,816,916,788,40,880,609,880,3,1072,912,340,1.2,1,5,0.50039624,150,2549.867003,173.1,2577.422493,422.2
346,5.99,18200,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.541321313,815,3266.242716,164.7,2844.170027,789.4
347,5.31,10300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.611224011,427,2754.731089,367.6,2863.03309,1295.5
348,5.38,18200,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.541566674,988,3375.251928,857.2,2958.170289,716.9
349,4.09,10300,8350,3,1348,1736,1348,1684,,,0,2168,2142,204,2248,1786,9,650,629,650,3,695,519,313,0.7,1,3,0.56853128,108,2928.200185,238.2,2381.445271,525.2
350,37.96,10300,8350,3,1348,1736,1348,1684,,,0,2168,2142,204,2248,1786,9,650,629,650,3,695,519,313,0.7,1,3,0.554243067,114,2747.262178,217.9,2309.826087,653.4
351,75.84,12900,8355,4,,645,,239,955,954.5,2,2078,1594,1127,1538,1954,18,766,349,766,2,1067,1033,137,-1,-1,4,0.479939912,376,2740.898161,258.6,2287.936791,615.9
352,81.43,13000,8270,6,934,674,933,0,3864,4546.5,4,1941,1578,840,3800,4386,24,834,411,833,2,1470,1435,238,-7.8,1,5,0.477837264,467,2667.717992,267.3,2357.296098,589.9
353,68.21,7700,10365,4,1508,722,1508,31,1874,1879,3,2213,1672,1191,2164,2265,35,1000,,1000,1,1000,1000,10,0,0,1,0.512639804,245,3056.211966,212,2032.922355,533.8
354,29.18,7700,10300,3,,880,,51,2865,2863,3,1923,1378,1130,3070,2862,24,1301,,1301,0,1302,1302,12,0,0,1,0.530874004,315,2969.985594,230.1,1821.549742,314.5
355,80.59,12900,10410,1,,1910,,1690,,,0,2614,2346,1131,1270,1269.5,4,779,,779,1,798,798,12,0,0,1,0.478153225,541,2761.233882,1035.5,2149.114144,779.2
356,30.42,7700,10355,3,2854,585,2385,45,2211,2211,3,2151,1572,1304,2257,2037,47,1492,,1492,0,1492,1492,11,0,0,1,0.530376286,355,2966.579531,158.1,1818.19282,360.6
